"AdmitToAmber","AdmitToGreen","AdmitToRed","tick"
2,2,2,174.0
2,2,2,175.0
2,2,2,176.0
2,2,2,177.0
2,2,2,178.0
2,2,2,179.0
2,2,2,180.0
2,2,2,181.0
2,2,2,182.0
2,2,2,183.0
2,2,2,184.0
2,2,2,185.0
2,2,2,186.0
2,2,2,187.0
2,2,2,188.0
2,2,2,189.0
2,2,2,190.0
2,2,2,191.0
2,2,2,192.0
2,2,2,193.0
2,2,2,194.0
2,2,2,195.0
2,2,2,196.0
2,2,2,197.0
2,2,2,198.0
2,2,2,199.0
2,2,2,200.0
2,2,2,201.0
2,2,2,202.0
2,2,2,203.0
2,2,2,204.0
2,2,2,205.0
2,2,2,206.0
2,2,2,207.0
2,2,2,208.0
2,2,2,209.0
2,2,2,210.0
2,2,2,211.0
2,2,2,212.0
2,2,2,213.0
2,2,2,214.0
2,2,2,215.0
2,2,2,216.0
2,2,2,217.0
2,2,2,218.0
2,2,2,219.0
2,2,2,220.0
2,2,2,221.0
2,2,2,222.0
2,2,2,223.0
2,2,2,224.0
2,2,2,225.0
2,2,2,226.0
2,2,2,227.0
2,2,2,228.0
2,2,2,229.0
2,2,2,230.0
2,2,2,231.0
2,2,2,232.0
2,2,2,233.0
2,2,2,234.0
2,2,2,235.0
2,2,2,236.0
2,2,2,237.0
2,2,2,238.0
2,2,2,239.0
2,2,2,240.0
2,2,2,241.0
2,2,2,242.0
3,3,3,243.0
3,3,3,244.0
3,3,3,245.0
3,3,3,246.0
3,3,3,247.0
3,3,3,248.0
3,3,3,249.0
3,3,3,250.0
3,3,3,251.0
3,3,3,252.0
3,3,3,253.0
3,3,3,254.0
3,3,3,255.0
3,3,3,256.0
3,3,3,257.0
3,3,3,258.0
3,3,3,259.0
3,3,3,260.0
3,3,3,261.0
3,3,3,262.0
3,3,3,263.0
3,3,3,264.0
3,3,3,265.0
3,3,3,266.0
3,3,3,267.0
3,3,3,268.0
3,3,3,269.0
3,3,3,270.0
3,3,3,271.0
3,3,3,272.0
3,3,3,273.0
3,3,3,274.0
3,3,3,275.0
3,3,3,276.0
3,3,3,277.0
3,3,3,278.0
3,3,3,279.0
3,3,3,280.0
3,3,3,281.0
3,3,3,282.0
3,3,3,283.0
3,3,3,284.0
3,3,3,285.0
3,3,3,286.0
3,3,3,287.0
3,3,3,288.0
3,3,3,289.0
3,3,3,290.0
3,3,3,291.0
3,3,3,292.0
3,3,3,293.0
3,3,3,294.0
3,3,3,295.0
3,3,3,296.0
3,3,3,297.0
3,3,3,298.0
3,3,3,299.0
3,3,3,300.0
3,3,3,301.0
3,3,3,302.0
3,3,3,303.0
3,3,3,304.0
3,3,3,305.0
3,3,3,306.0
3,3,3,307.0
3,3,3,308.0
3,3,3,309.0
3,3,3,310.0
3,3,3,311.0
3,3,3,312.0
3,3,3,313.0
3,3,3,314.0
3,3,3,315.0
3,3,3,316.0
3,3,3,317.0
3,3,3,318.0
3,3,3,319.0
3,3,3,320.0
3,3,3,321.0
3,3,3,322.0
3,3,3,323.0
3,3,3,324.0
3,3,3,325.0
3,3,3,326.0
3,3,3,327.0
3,3,3,328.0
3,3,3,329.0
3,3,3,330.0
3,3,3,331.0
3,3,3,332.0
3,3,3,333.0
3,3,3,334.0
3,3,3,335.0
3,3,3,336.0
3,3,3,337.0
3,3,3,338.0
3,3,3,339.0
3,3,3,340.0
3,3,3,341.0
3,3,3,342.0
3,3,3,343.0
3,3,3,344.0
3,3,3,345.0
3,3,3,346.0
3,3,3,347.0
3,3,3,348.0
3,3,3,349.0
3,3,3,350.0
3,3,3,351.0
3,3,3,352.0
3,3,3,353.0
3,3,3,354.0
3,3,3,355.0
3,3,3,356.0
3,3,3,357.0
3,3,3,358.0
3,3,3,359.0
3,3,3,360.0
3,3,3,361.0
3,3,3,362.0
3,3,3,363.0
4,4,4,364.0
4,4,4,365.0
4,4,4,366.0
4,4,4,367.0
4,4,4,368.0
4,4,4,369.0
4,4,4,370.0
4,4,4,371.0
4,4,4,372.0
4,4,4,373.0
4,4,4,374.0
4,4,4,375.0
4,4,4,376.0
4,4,4,377.0
4,4,4,378.0
4,4,4,379.0
4,4,4,380.0
4,4,4,381.0
4,4,4,382.0
4,4,4,383.0
4,4,4,384.0
4,4,4,385.0
4,4,4,386.0
4,4,4,387.0
4,4,4,388.0
4,4,4,389.0
4,4,4,390.0
4,4,4,391.0
4,4,4,392.0
4,4,4,393.0
4,4,4,394.0
4,4,4,395.0
4,4,4,396.0
4,4,4,397.0
4,4,4,398.0
4,4,4,399.0
4,4,4,400.0
4,4,4,401.0
4,4,4,402.0
4,4,4,403.0
4,4,4,404.0
4,4,4,405.0
4,4,4,406.0
4,4,4,407.0
4,4,4,408.0
4,4,4,409.0
4,4,4,410.0
4,4,4,411.0
4,4,4,412.0
4,4,4,413.0
4,4,4,414.0
4,4,4,415.0
4,4,4,416.0
4,4,4,417.0
4,4,4,418.0
4,4,4,419.0
4,4,4,420.0
4,4,4,421.0
4,4,4,422.0
4,4,4,423.0
4,4,4,424.0
4,4,4,425.0
4,4,4,426.0
4,4,4,427.0
4,4,4,428.0
4,4,4,429.0
4,4,4,430.0
4,4,4,431.0
4,4,4,432.0
4,4,4,433.0
4,4,4,434.0
4,4,4,435.0
4,4,4,436.0
4,4,4,437.0
4,4,4,438.0
4,4,4,439.0
4,4,4,440.0
4,4,4,441.0
4,4,4,442.0
4,4,4,443.0
4,4,4,444.0
4,4,4,445.0
4,4,4,446.0
4,4,4,447.0
4,4,4,448.0
4,4,4,449.0
4,4,4,450.0
4,4,4,451.0
4,4,4,452.0
4,4,4,453.0
4,4,4,454.0
4,4,4,455.0
4,4,4,456.0
4,4,4,457.0
4,4,4,458.0
4,4,4,459.0
4,4,4,460.0
4,4,4,461.0
4,4,4,462.0
4,4,4,463.0
4,4,4,464.0
4,4,4,465.0
4,4,4,466.0
4,4,4,467.0
4,4,4,468.0
4,4,4,469.0
4,4,4,470.0
4,4,4,471.0
4,4,4,472.0
4,4,4,473.0
4,4,4,474.0
4,4,4,475.0
4,4,4,476.0
4,4,4,477.0
4,4,4,478.0
4,4,4,479.0
4,4,4,480.0
4,4,4,481.0
4,4,4,482.0
4,4,4,483.0
4,4,4,484.0
5,5,5,485.0
5,5,5,486.0
5,5,5,487.0
5,5,5,488.0
5,5,5,489.0
5,5,5,490.0
5,5,5,491.0
5,5,5,492.0
5,5,5,493.0
5,5,5,494.0
5,5,5,495.0
5,5,5,496.0
5,5,5,497.0
5,5,5,498.0
5,5,5,499.0
5,5,5,500.0
5,5,5,501.0
5,5,5,502.0
5,5,5,503.0
5,5,5,504.0
5,5,5,505.0
5,5,5,506.0
5,5,5,507.0
5,5,5,508.0
5,5,5,509.0
5,5,5,510.0
5,5,5,511.0
5,5,5,512.0
5,5,5,513.0
5,5,5,514.0
5,5,5,515.0
5,5,5,516.0
5,5,5,517.0
5,5,5,518.0
5,5,5,519.0
5,5,5,520.0
5,5,5,521.0
5,5,5,522.0
5,5,5,523.0
5,5,5,524.0
5,5,5,525.0
5,5,5,526.0
5,5,5,527.0
5,5,5,528.0
5,5,5,529.0
5,5,5,530.0
5,5,5,531.0
5,5,5,532.0
5,5,5,533.0
5,5,5,534.0
5,5,5,535.0
5,5,5,536.0
5,5,5,537.0
5,5,5,538.0
5,5,5,539.0
5,5,5,540.0
5,5,5,541.0
5,5,5,542.0
5,5,5,543.0
5,5,5,544.0
5,5,5,545.0
5,5,5,546.0
5,5,5,547.0
5,5,5,548.0
5,5,5,549.0
5,5,5,550.0
5,5,5,551.0
5,5,5,552.0
5,5,5,553.0
5,5,5,554.0
5,5,5,555.0
5,5,5,556.0
5,5,5,557.0
5,5,5,558.0
5,5,5,559.0
5,5,5,560.0
5,5,5,561.0
5,5,5,562.0
5,5,5,563.0
5,5,5,564.0
5,5,5,565.0
5,5,5,566.0
5,5,5,567.0
5,5,5,568.0
5,5,5,569.0
5,5,5,570.0
5,5,5,571.0
5,5,5,572.0
5,5,5,573.0
5,5,5,574.0
5,5,5,575.0
5,5,5,576.0
5,5,5,577.0
5,5,5,578.0
5,5,5,579.0
5,5,5,580.0
5,5,5,581.0
5,5,5,582.0
5,5,5,583.0
5,5,5,584.0
5,5,5,585.0
5,5,5,586.0
5,5,5,587.0
5,5,5,588.0
5,5,5,589.0
5,5,5,590.0
5,5,5,591.0
5,5,5,592.0
5,5,5,593.0
5,5,5,594.0
5,5,5,595.0
5,5,5,596.0
5,5,5,597.0
5,5,5,598.0
5,5,5,599.0
5,5,5,600.0
5,5,5,601.0
5,5,5,602.0
5,5,5,603.0
5,5,5,604.0
5,5,5,605.0
6,6,6,606.0
6,6,6,607.0
6,6,6,608.0
6,6,6,609.0
6,6,6,610.0
6,6,6,611.0
6,6,6,612.0
6,6,6,613.0
6,6,6,614.0
6,6,6,615.0
6,6,6,616.0
6,6,6,617.0
6,6,6,618.0
6,6,6,619.0
6,6,6,620.0
6,6,6,621.0
6,6,6,622.0
6,6,6,623.0
6,6,6,624.0
6,6,6,625.0
6,6,6,626.0
6,6,6,627.0
6,6,6,628.0
6,6,6,629.0
6,6,6,630.0
6,6,6,631.0
6,6,6,632.0
6,6,6,633.0
6,6,6,634.0
6,6,6,635.0
6,6,6,636.0
6,6,6,637.0
6,6,6,638.0
6,6,6,639.0
6,6,6,640.0
6,6,6,641.0
6,6,6,642.0
6,6,6,643.0
6,6,6,644.0
6,6,6,645.0
6,6,6,646.0
6,6,6,647.0
6,6,6,648.0
6,6,6,649.0
6,6,6,650.0
6,6,6,651.0
6,6,6,652.0
6,6,6,653.0
6,6,6,654.0
6,6,6,655.0
6,6,6,656.0
6,6,6,657.0
6,6,6,658.0
6,6,6,659.0
6,6,6,660.0
6,6,6,661.0
6,6,6,662.0
6,6,6,663.0
6,6,6,664.0
6,6,6,665.0
6,6,6,666.0
6,6,6,667.0
6,6,6,668.0
6,6,6,669.0
6,6,6,670.0
6,6,6,671.0
6,6,6,672.0
6,6,6,673.0
6,6,6,674.0
6,6,6,675.0
6,6,6,676.0
6,6,6,677.0
6,6,6,678.0
6,6,6,679.0
6,6,6,680.0
6,6,6,681.0
6,6,6,682.0
6,6,6,683.0
6,6,6,684.0
6,6,6,685.0
6,6,6,686.0
6,6,6,687.0
6,6,6,688.0
6,6,6,689.0
6,6,6,690.0
6,6,6,691.0
6,6,6,692.0
6,6,6,693.0
6,6,6,694.0
6,6,6,695.0
6,6,6,696.0
6,6,6,697.0
6,6,6,698.0
6,6,6,699.0
6,6,6,700.0
6,6,6,701.0
6,6,6,702.0
6,6,6,703.0
6,6,6,704.0
6,6,6,705.0
6,6,6,706.0
6,6,6,707.0
6,6,6,708.0
6,6,6,709.0
6,6,6,710.0
6,6,6,711.0
6,6,6,712.0
6,6,6,713.0
6,6,6,714.0
6,6,6,715.0
6,6,6,716.0
6,6,6,717.0
6,6,6,718.0
6,6,6,719.0
6,6,6,720.0
6,6,6,721.0
6,6,6,722.0
6,6,6,723.0
6,6,6,724.0
6,6,6,725.0
6,6,6,726.0
7,7,7,727.0
7,7,7,728.0
7,7,7,729.0
7,7,7,730.0
7,7,7,731.0
7,7,7,732.0
7,7,7,733.0
7,7,7,734.0
7,7,7,735.0
7,7,7,736.0
7,7,7,737.0
7,7,7,738.0
7,7,7,739.0
7,7,7,740.0
7,7,7,741.0
7,7,7,742.0
7,7,7,743.0
7,7,7,744.0
7,7,7,745.0
7,7,7,746.0
7,7,7,747.0
7,7,7,748.0
7,7,7,749.0
7,7,7,750.0
7,7,7,751.0
7,7,7,752.0
7,7,7,753.0
7,7,7,754.0
7,7,7,755.0
7,7,7,756.0
7,7,7,757.0
7,7,7,758.0
7,7,7,759.0
7,7,7,760.0
7,7,7,761.0
7,7,7,762.0
7,7,7,763.0
7,7,7,764.0
7,7,7,765.0
7,7,7,766.0
7,7,7,767.0
7,7,7,768.0
7,7,7,769.0
7,7,7,770.0
7,7,7,771.0
7,7,7,772.0
7,7,7,773.0
7,7,7,774.0
7,7,7,775.0
7,7,7,776.0
7,7,7,777.0
7,7,7,778.0
7,7,7,779.0
7,7,7,780.0
7,7,7,781.0
7,7,7,782.0
7,7,7,783.0
7,7,7,784.0
7,7,7,785.0
7,7,7,786.0
7,7,7,787.0
7,7,7,788.0
7,7,7,789.0
7,7,7,790.0
7,7,7,791.0
7,7,7,792.0
7,7,7,793.0
7,7,7,794.0
7,7,7,795.0
7,7,7,796.0
7,7,7,797.0
7,7,7,798.0
7,7,7,799.0
7,7,7,800.0
7,7,7,801.0
7,7,7,802.0
7,7,7,803.0
7,7,7,804.0
7,7,7,805.0
7,7,7,806.0
7,7,7,807.0
7,7,7,808.0
7,7,7,809.0
7,7,7,810.0
7,7,7,811.0
7,7,7,812.0
7,7,7,813.0
7,7,7,814.0
7,7,7,815.0
7,7,7,816.0
7,7,7,817.0
7,7,7,818.0
7,7,7,819.0
7,7,7,820.0
7,7,7,821.0
7,7,7,822.0
7,7,7,823.0
7,7,7,824.0
7,7,7,825.0
7,7,7,826.0
7,7,7,827.0
7,7,7,828.0
7,7,7,829.0
7,7,7,830.0
7,7,7,831.0
7,7,7,832.0
7,7,7,833.0
7,7,7,834.0
7,7,7,835.0
7,7,7,836.0
7,7,7,837.0
7,7,7,838.0
7,7,7,839.0
7,7,7,840.0
7,7,7,841.0
7,7,7,842.0
7,7,7,843.0
7,7,7,844.0
7,7,7,845.0
7,7,7,846.0
7,7,7,847.0
8,8,8,848.0
8,8,8,849.0
8,8,8,850.0
8,8,8,851.0
8,8,8,852.0
8,8,8,853.0
8,8,8,854.0
8,8,8,855.0
8,8,8,856.0
8,8,8,857.0
8,8,8,858.0
8,8,8,859.0
8,8,8,860.0
8,8,8,861.0
8,8,8,862.0
8,8,8,863.0
8,8,8,864.0
8,8,8,865.0
8,8,8,866.0
8,8,8,867.0
8,8,8,868.0
8,8,8,869.0
8,8,8,870.0
8,8,8,871.0
8,8,8,872.0
8,8,8,873.0
8,8,8,874.0
8,8,8,875.0
8,8,8,876.0
8,8,8,877.0
8,8,8,878.0
8,8,8,879.0
8,8,8,880.0
8,8,8,881.0
8,8,8,882.0
8,8,8,883.0
8,8,8,884.0
8,8,8,885.0
8,8,8,886.0
8,8,8,887.0
8,8,8,888.0
8,8,8,889.0
8,8,8,890.0
8,8,8,891.0
8,8,8,892.0
8,8,8,893.0
8,8,8,894.0
8,8,8,895.0
8,8,8,896.0
8,8,8,897.0
8,8,8,898.0
8,8,8,899.0
8,8,8,900.0
8,8,8,901.0
8,8,8,902.0
8,8,8,903.0
8,8,8,904.0
8,8,8,905.0
8,8,8,906.0
8,8,8,907.0
8,8,8,908.0
8,8,8,909.0
8,8,8,910.0
8,8,8,911.0
8,8,8,912.0
8,8,8,913.0
8,8,8,914.0
8,8,8,915.0
8,8,8,916.0
8,8,8,917.0
8,8,8,918.0
8,8,8,919.0
8,8,8,920.0
8,8,8,921.0
8,8,8,922.0
8,8,8,923.0
8,8,8,924.0
8,8,8,925.0
8,8,8,926.0
8,8,8,927.0
8,8,8,928.0
8,8,8,929.0
8,8,8,930.0
8,8,8,931.0
8,8,8,932.0
8,8,8,933.0
8,8,8,934.0
8,8,8,935.0
8,8,8,936.0
8,8,8,937.0
8,8,8,938.0
8,8,8,939.0
8,8,8,940.0
8,8,8,941.0
8,8,8,942.0
8,8,8,943.0
8,8,8,944.0
8,8,8,945.0
8,8,8,946.0
8,8,8,947.0
8,8,8,948.0
8,8,8,949.0
8,8,8,950.0
8,8,8,951.0
8,8,8,952.0
8,8,8,953.0
8,8,8,954.0
8,8,8,955.0
8,8,8,956.0
8,8,8,957.0
8,8,8,958.0
8,8,8,959.0
8,8,8,960.0
8,8,8,961.0
8,8,8,962.0
8,8,8,963.0
8,8,8,964.0
8,8,8,965.0
8,8,8,966.0
8,8,8,967.0
8,8,8,968.0
9,9,9,969.0
9,9,9,970.0
9,9,9,971.0
9,9,9,972.0
9,9,9,973.0
9,9,9,974.0
9,9,9,975.0
9,9,9,976.0
9,9,9,977.0
9,9,9,978.0
9,9,9,979.0
9,9,9,980.0
9,9,9,981.0
9,9,9,982.0
9,9,9,983.0
9,9,9,984.0
9,9,9,985.0
9,9,9,986.0
9,9,9,987.0
9,9,9,988.0
9,9,9,989.0
9,9,9,990.0
9,9,9,991.0
9,9,9,992.0
9,9,9,993.0
9,9,9,994.0
9,9,9,995.0
9,9,9,996.0
9,9,9,997.0
9,9,9,998.0
9,9,9,999.0
9,9,9,1000.0
9,9,9,1001.0
9,9,9,1002.0
9,9,9,1003.0
9,9,9,1004.0
9,9,9,1005.0
9,9,9,1006.0
9,9,9,1007.0
9,9,9,1008.0
9,9,9,1009.0
9,9,9,1010.0
9,9,9,1011.0
9,9,9,1012.0
9,9,9,1013.0
9,9,9,1014.0
9,9,9,1015.0
9,9,9,1016.0
9,9,9,1017.0
9,9,9,1018.0
9,9,9,1019.0
9,9,9,1020.0
9,9,9,1021.0
9,9,9,1022.0
9,9,9,1023.0
9,9,9,1024.0
9,9,9,1025.0
9,9,9,1026.0
9,9,9,1027.0
9,9,9,1028.0
9,9,9,1029.0
9,9,9,1030.0
9,9,9,1031.0
9,9,9,1032.0
9,9,9,1033.0
9,9,9,1034.0
9,9,9,1035.0
9,9,9,1036.0
9,9,9,1037.0
9,9,9,1038.0
9,9,9,1039.0
9,9,9,1040.0
9,9,9,1041.0
9,9,9,1042.0
9,9,9,1043.0
9,9,9,1044.0
9,9,9,1045.0
9,9,9,1046.0
9,9,9,1047.0
9,9,9,1048.0
9,9,9,1049.0
9,9,9,1050.0
9,9,9,1051.0
9,9,9,1052.0
9,9,9,1053.0
9,9,9,1054.0
9,9,9,1055.0
9,9,9,1056.0
9,9,9,1057.0
9,9,9,1058.0
9,9,9,1059.0
9,9,9,1060.0
9,9,9,1061.0
9,9,9,1062.0
9,9,9,1063.0
9,9,9,1064.0
9,9,9,1065.0
9,9,9,1066.0
9,9,9,1067.0
9,9,9,1068.0
9,9,9,1069.0
9,9,9,1070.0
9,9,9,1071.0
9,9,9,1072.0
9,9,9,1073.0
9,9,9,1074.0
9,9,9,1075.0
9,9,9,1076.0
9,9,9,1077.0
9,9,9,1078.0
9,9,9,1079.0
9,9,9,1080.0
9,9,9,1081.0
9,9,9,1082.0
9,9,9,1083.0
9,9,9,1084.0
9,9,9,1085.0
9,9,9,1086.0
9,9,9,1087.0
9,9,9,1088.0
9,9,9,1089.0
10,10,10,1090.0
10,10,10,1091.0
10,10,10,1092.0
10,10,10,1093.0
10,10,10,1094.0
10,10,10,1095.0
10,10,10,1096.0
10,10,10,1097.0
10,10,10,1098.0
10,10,10,1099.0
10,10,10,1100.0
10,10,10,1101.0
10,10,10,1102.0
10,10,10,1103.0
10,10,10,1104.0
10,10,10,1105.0
10,10,10,1106.0
10,10,10,1107.0
10,10,10,1108.0
10,10,10,1109.0
10,10,10,1110.0
10,10,10,1111.0
10,10,10,1112.0
10,10,10,1113.0
10,10,10,1114.0
10,10,10,1115.0
10,10,10,1116.0
10,10,10,1117.0
10,10,10,1118.0
10,10,10,1119.0
10,10,10,1120.0
10,10,10,1121.0
10,10,10,1122.0
10,10,10,1123.0
10,10,10,1124.0
10,10,10,1125.0
10,10,10,1126.0
10,10,10,1127.0
10,10,10,1128.0
10,10,10,1129.0
10,10,10,1130.0
10,10,10,1131.0
10,10,10,1132.0
10,10,10,1133.0
10,10,10,1134.0
10,10,10,1135.0
10,10,10,1136.0
10,10,10,1137.0
10,10,10,1138.0
10,10,10,1139.0
10,10,10,1140.0
10,10,10,1141.0
10,10,10,1142.0
10,10,10,1143.0
10,10,10,1144.0
10,10,10,1145.0
10,10,10,1146.0
10,10,10,1147.0
10,10,10,1148.0
10,10,10,1149.0
10,10,10,1150.0
10,10,10,1151.0
10,10,10,1152.0
10,10,10,1153.0
10,10,10,1154.0
10,10,10,1155.0
10,10,10,1156.0
10,10,10,1157.0
10,10,10,1158.0
10,10,10,1159.0
10,10,10,1160.0
10,10,10,1161.0
10,10,10,1162.0
10,10,10,1163.0
10,10,10,1164.0
10,10,10,1165.0
10,10,10,1166.0
10,10,10,1167.0
10,10,10,1168.0
10,10,10,1169.0
10,10,10,1170.0
10,10,10,1171.0
10,10,10,1172.0
10,10,10,1173.0
10,10,10,1174.0
10,10,10,1175.0
10,10,10,1176.0
10,10,10,1177.0
10,10,10,1178.0
10,10,10,1179.0
10,10,10,1180.0
10,10,10,1181.0
10,10,10,1182.0
10,10,10,1183.0
10,10,10,1184.0
10,10,10,1185.0
10,10,10,1186.0
10,10,10,1187.0
10,10,10,1188.0
10,10,10,1189.0
10,10,10,1190.0
10,10,10,1191.0
10,10,10,1192.0
10,10,10,1193.0
10,10,10,1194.0
10,10,10,1195.0
10,10,10,1196.0
10,10,10,1197.0
10,10,10,1198.0
10,10,10,1199.0
10,10,10,1200.0
10,10,10,1201.0
10,10,10,1202.0
10,10,10,1203.0
10,10,10,1204.0
10,10,10,1205.0
10,10,10,1206.0
10,10,10,1207.0
10,10,10,1208.0
10,10,10,1209.0
10,10,10,1210.0
11,11,11,1211.0
11,11,11,1212.0
11,11,11,1213.0
11,11,11,1214.0
11,11,11,1215.0
11,11,11,1216.0
11,11,11,1217.0
11,11,11,1218.0
11,11,11,1219.0
11,11,11,1220.0
11,11,11,1221.0
11,11,11,1222.0
11,11,11,1223.0
11,11,11,1224.0
11,11,11,1225.0
11,11,11,1226.0
11,11,11,1227.0
11,11,11,1228.0
11,11,11,1229.0
11,11,11,1230.0
11,11,11,1231.0
11,11,11,1232.0
11,11,11,1233.0
11,11,11,1234.0
11,11,11,1235.0
11,11,11,1236.0
11,11,11,1237.0
11,11,11,1238.0
11,11,11,1239.0
11,11,11,1240.0
11,11,11,1241.0
11,11,11,1242.0
11,11,11,1243.0
11,11,11,1244.0
11,11,11,1245.0
11,11,11,1246.0
11,11,11,1247.0
11,11,11,1248.0
11,11,11,1249.0
11,11,11,1250.0
11,11,11,1251.0
11,11,11,1252.0
11,11,11,1253.0
11,11,11,1254.0
11,11,11,1255.0
11,11,11,1256.0
11,11,11,1257.0
11,11,11,1258.0
11,11,11,1259.0
11,11,11,1260.0
11,11,11,1261.0
11,11,11,1262.0
11,11,11,1263.0
11,11,11,1264.0
11,11,11,1265.0
11,11,11,1266.0
11,11,11,1267.0
11,11,11,1268.0
11,11,11,1269.0
11,11,11,1270.0
11,11,11,1271.0
11,11,11,1272.0
11,11,11,1273.0
11,11,11,1274.0
11,11,11,1275.0
11,11,11,1276.0
11,11,11,1277.0
11,11,11,1278.0
11,11,11,1279.0
11,11,11,1280.0
11,11,11,1281.0
11,11,11,1282.0
11,11,11,1283.0
11,11,11,1284.0
11,11,11,1285.0
11,11,11,1286.0
11,11,11,1287.0
11,11,11,1288.0
11,11,11,1289.0
11,11,11,1290.0
11,11,11,1291.0
11,11,11,1292.0
11,11,11,1293.0
11,11,11,1294.0
11,11,11,1295.0
11,11,11,1296.0
11,11,11,1297.0
11,11,11,1298.0
11,11,11,1299.0
11,11,11,1300.0
11,11,11,1301.0
11,11,11,1302.0
11,11,11,1303.0
11,11,11,1304.0
11,11,11,1305.0
11,11,11,1306.0
11,11,11,1307.0
11,11,11,1308.0
11,11,11,1309.0
11,11,11,1310.0
11,11,11,1311.0
11,11,11,1312.0
11,11,11,1313.0
11,11,11,1314.0
11,11,11,1315.0
11,11,11,1316.0
11,11,11,1317.0
11,11,11,1318.0
11,11,11,1319.0
11,11,11,1320.0
11,11,11,1321.0
11,11,11,1322.0
11,11,11,1323.0
11,11,11,1324.0
11,11,11,1325.0
11,11,11,1326.0
11,11,11,1327.0
11,11,11,1328.0
11,11,11,1329.0
11,11,11,1330.0
11,11,11,1331.0
12,12,12,1332.0
12,12,12,1333.0
12,12,12,1334.0
12,12,12,1335.0
12,12,12,1336.0
12,12,12,1337.0
12,12,12,1338.0
12,12,12,1339.0
12,12,12,1340.0
12,12,12,1341.0
12,12,12,1342.0
12,12,12,1343.0
12,12,12,1344.0
12,12,12,1345.0
12,12,12,1346.0
12,12,12,1347.0
12,12,12,1348.0
12,12,12,1349.0
12,12,12,1350.0
12,12,12,1351.0
12,12,12,1352.0
12,12,12,1353.0
12,12,12,1354.0
12,12,12,1355.0
12,12,12,1356.0
12,12,12,1357.0
