"run","patientgetSeverityissevere","patientgetSeverityismoderate","patientgetSeverityislow","patientgetAdmissionRouteisElectiveattendance","patientgetImmunocompromisedisYes","patientgetImmunocompromisedisNo","patientgetRecentCovidContactisYes","patientgetRecentCovidContactisNo","patientgetStrepAInfectionStatusisSusceptible","patientgetStrepAInfectionStatusisAsymptomatic","patientgetStrepAInfectionStatusisSymptomatic","patientgetadmittedToisGreenBay","patientgetadmittedToisGreenBaygetSeverityissevere","patientgetadmittedToisGreenBaygetSeverityismoderate","patientgetadmittedToisGreenBaygetSeverityislow","patientgetadmittedToisGreenBaygetAdmissionRouteisElectiveattendance","patientgetadmittedToisGreenBaygetImmunocompromisedisYes","patientgetadmittedToisGreenBaygetImmunocompromisedisNo","patientgetadmittedToisGreenBaygetRecentCovidContactisYes","patientgetadmittedToisGreenBaygetRecentCovidContactisNo","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisSusceptible","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisAsymptomatic","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisSymptomatic","patientgetAliveTime"
10,124.0,617.0,0.0,581.0,98.0,483.0,294.0,287.0,99.0,45.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,151.0,743.0,0.0,695.0,117.0,578.0,355.0,340.0,125.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,175.0,874.0,0.0,811.0,140.0,671.0,415.0,396.0,146.0,69.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20.0,133.0,0.0,117.0,25.0,92.0,65.0,52.0,27.0,8.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2966.2745098039227
1,44.0,238.0,0.0,236.0,45.0,191.0,117.0,119.0,33.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,75.0,359.0,0.0,352.0,65.0,287.0,177.0,175.0,55.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,96.0,494.0,0.0,476.0,88.0,388.0,235.0,241.0,82.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,119.0,617.0,0.0,585.0,117.0,468.0,287.0,298.0,101.0,38.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,141.0,752.0,0.0,705.0,138.0,567.0,340.0,365.0,125.0,48.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,158.0,895.0,0.0,827.0,159.0,668.0,395.0,432.0,148.0,62.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,31.0,124.0,0.0,116.0,30.0,86.0,58.0,58.0,18.0,16.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,3492.000000000001
3,57.0,225.0,0.0,236.0,53.0,183.0,118.0,118.0,26.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,76.0,363.0,0.0,355.0,80.0,275.0,171.0,184.0,49.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,99.0,498.0,0.0,475.0,100.0,375.0,238.0,237.0,73.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,127.0,631.0,0.0,599.0,122.0,477.0,297.0,302.0,91.0,45.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,147.0,756.0,0.0,708.0,144.0,564.0,349.0,359.0,116.0,55.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,169.0,891.0,0.0,824.0,171.0,653.0,416.0,408.0,144.0,65.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,23.0,132.0,0.0,115.0,21.0,94.0,59.0,56.0,25.0,12.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2513.806451612904
5,39.0,250.0,0.0,234.0,39.0,195.0,130.0,104.0,34.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,54.0,392.0,0.0,355.0,67.0,288.0,193.0,162.0,59.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,75.0,524.0,0.0,470.0,88.0,382.0,244.0,226.0,83.0,32.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,91.0,655.0,0.0,581.0,112.0,469.0,308.0,273.0,102.0,46.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,115.0,783.0,0.0,696.0,131.0,565.0,360.0,336.0,123.0,58.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,141.0,917.0,0.0,818.0,154.0,664.0,405.0,413.0,144.0,71.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,26.0,124.0,0.0,115.0,33.0,82.0,49.0,66.0,21.0,11.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,3719.6000000000004
7,42.0,229.0,0.0,232.0,52.0,180.0,108.0,124.0,28.0,7.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,231.14391143911433
7,60.0,365.0,0.0,346.0,72.0,274.0,165.0,181.0,50.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,79.0,504.0,0.0,463.0,93.0,370.0,220.0,243.0,73.0,31.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,111.0,622.0,0.0,577.0,118.0,459.0,280.0,297.0,95.0,43.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,138.0,753.0,0.0,696.0,137.0,559.0,344.0,352.0,116.0,55.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,167.0,882.0,0.0,817.0,167.0,650.0,409.0,408.0,137.0,68.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,26.0,127.0,0.0,119.0,23.0,96.0,51.0,68.0,17.0,13.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2800.0
9,50.0,236.0,0.0,238.0,42.0,196.0,109.0,129.0,27.0,17.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,764.6853146853147
9,67.0,362.0,0.0,355.0,66.0,289.0,166.0,189.0,43.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,96.0,483.0,0.0,469.0,89.0,380.0,219.0,250.0,69.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,118.0,617.0,0.0,589.0,118.0,471.0,277.0,312.0,91.0,39.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,137.0,740.0,0.0,693.0,142.0,551.0,327.0,366.0,117.0,48.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,168.0,871.0,0.0,815.0,167.0,648.0,401.0,414.0,145.0,57.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
