"run","patientgetSeverityissevere","patientgetSeverityismoderate","patientgetSeverityislow","patientgetAdmissionRouteisElectiveattendance","patientgetImmunocompromisedisYes","patientgetImmunocompromisedisNo","patientgetRecentCovidContactisYes","patientgetRecentCovidContactisNo","patientgetStrepAInfectionStatusisSusceptible","patientgetStrepAInfectionStatusisAsymptomatic","patientgetStrepAInfectionStatusisSymptomatic","patientgetadmittedToisGreenBay","patientgetadmittedToisGreenBaygetSeverityissevere","patientgetadmittedToisGreenBaygetSeverityismoderate","patientgetadmittedToisGreenBaygetSeverityislow","patientgetadmittedToisGreenBaygetAdmissionRouteisElectiveattendance","patientgetadmittedToisGreenBaygetImmunocompromisedisYes","patientgetadmittedToisGreenBaygetImmunocompromisedisNo","patientgetadmittedToisGreenBaygetRecentCovidContactisYes","patientgetadmittedToisGreenBaygetRecentCovidContactisNo","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisSusceptible","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisAsymptomatic","patientgetadmittedToisGreenBaygetStrepAInfectionStatusisSymptomatic","patientgetAliveTime"
10,76.0,495.0,0.0,478.0,104.0,374.0,239.0,239.0,55.0,29.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,108.0,617.0,0.0,593.0,124.0,469.0,289.0,304.0,79.0,40.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,136.0,747.0,0.0,713.0,143.0,570.0,333.0,380.0,101.0,52.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,151.0,888.0,0.0,832.0,178.0,654.0,385.0,447.0,120.0,66.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,31.0,126.0,0.0,121.0,23.0,98.0,57.0,64.0,21.0,12.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3558.7261146496794
5,46.0,237.0,0.0,240.0,47.0,193.0,117.0,123.0,34.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91.80212014134281
5,72.0,365.0,0.0,357.0,69.0,288.0,174.0,183.0,58.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,93.0,497.0,0.0,472.0,90.0,382.0,240.0,232.0,83.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,123.0,623.0,0.0,593.0,115.0,478.0,298.0,295.0,103.0,39.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,145.0,755.0,0.0,712.0,137.0,575.0,355.0,357.0,119.0,54.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,168.0,887.0,0.0,832.0,159.0,673.0,420.0,412.0,138.0,66.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,28.0,130.0,0.0,123.0,22.0,101.0,67.0,56.0,25.0,9.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2441.3924050632904
4,41.0,258.0,0.0,243.0,55.0,188.0,133.0,110.0,40.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,65.0,395.0,0.0,362.0,81.0,281.0,193.0,169.0,65.0,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,89.0,535.0,0.0,485.0,113.0,372.0,253.0,232.0,92.0,38.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110.0,664.0,0.0,599.0,138.0,461.0,309.0,290.0,120.0,44.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,130.0,793.0,0.0,708.0,154.0,554.0,363.0,345.0,140.0,57.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,159.0,919.0,0.0,825.0,173.0,652.0,421.0,404.0,164.0,67.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,25.0,129.0,0.0,116.0,20.0,96.0,63.0,53.0,19.0,13.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2687.142857142856
3,53.0,241.0,0.0,238.0,38.0,200.0,121.0,117.0,28.0,20.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,660.2040816326537
3,76.0,370.0,0.0,357.0,59.0,298.0,181.0,176.0,49.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,104.0,493.0,0.0,468.0,85.0,383.0,243.0,225.0,67.0,44.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,122.0,623.0,0.0,581.0,112.0,469.0,296.0,285.0,91.0,54.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,148.0,748.0,0.0,697.0,137.0,560.0,357.0,340.0,108.0,67.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,183.0,873.0,0.0,814.0,153.0,661.0,410.0,404.0,133.0,83.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,26.0,127.0,0.0,116.0,21.0,95.0,57.0,59.0,22.0,14.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3705.882352941176
6,41.0,235.0,0.0,239.0,46.0,193.0,116.0,123.0,24.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,181.30434782608688
6,61.0,371.0,0.0,359.0,71.0,288.0,193.0,166.0,43.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,85.0,504.0,0.0,478.0,90.0,388.0,251.0,227.0,70.0,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,104.0,639.0,0.0,594.0,108.0,486.0,309.0,285.0,94.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,119.0,779.0,0.0,711.0,128.0,583.0,366.0,345.0,114.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,143.0,911.0,0.0,829.0,153.0,676.0,429.0,400.0,136.0,60.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30.0,130.0,0.0,119.0,27.0,92.0,58.0,61.0,17.0,16.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,3695.625
1,45.0,242.0,0.0,237.0,49.0,188.0,109.0,128.0,32.0,13.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,767.4564459930322
1,68.0,361.0,0.0,349.0,70.0,279.0,155.0,194.0,48.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,92.0,488.0,0.0,465.0,88.0,377.0,221.0,244.0,71.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,118.0,616.0,0.0,584.0,115.0,469.0,281.0,303.0,94.0,45.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,145.0,745.0,0.0,701.0,136.0,565.0,343.0,358.0,119.0,56.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,187.0,866.0,0.0,828.0,160.0,668.0,408.0,420.0,143.0,63.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,16.0,144.0,0.0,121.0,30.0,91.0,55.0,66.0,28.0,7.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4137.750000000001
9,36.0,247.0,0.0,244.0,54.0,190.0,106.0,138.0,22.0,15.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1381.0600706713776
9,59.0,367.0,0.0,365.0,76.0,289.0,173.0,192.0,40.0,18.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1626.1971830985908
9,82.0,493.0,0.0,490.0,100.0,390.0,231.0,259.0,52.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,107.0,627.0,0.0,611.0,131.0,480.0,287.0,324.0,75.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,129.0,764.0,0.0,731.0,150.0,581.0,341.0,390.0,96.0,49.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,161.0,882.0,0.0,843.0,175.0,668.0,399.0,444.0,118.0,60.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,25.0,136.0,0.0,122.0,21.0,101.0,50.0,72.0,26.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1976.64596273292
8,52.0,248.0,0.0,240.0,51.0,189.0,116.0,124.0,31.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,80.0,379.0,0.0,362.0,76.0,286.0,172.0,190.0,51.0,36.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,109.0,508.0,0.0,484.0,98.0,386.0,234.0,250.0,73.0,46.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,136.0,641.0,0.0,607.0,123.0,484.0,303.0,304.0,91.0,61.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,164.0,770.0,0.0,725.0,145.0,580.0,369.0,356.0,112.0,77.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,189.0,892.0,0.0,836.0,162.0,674.0,425.0,411.0,136.0,87.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,28.0,128.0,0.0,115.0,27.0,88.0,54.0,61.0,24.0,15.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1762.6923076923085
7,41.0,243.0,0.0,222.0,54.0,168.0,113.0,109.0,36.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,72.0,362.0,0.0,334.0,71.0,263.0,165.0,169.0,60.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,89.0,496.0,0.0,449.0,88.0,361.0,230.0,219.0,88.0,37.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,124.0,618.0,0.0,566.0,110.0,456.0,299.0,267.0,115.0,45.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,146.0,750.0,0.0,682.0,140.0,542.0,356.0,326.0,137.0,59.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,172.0,876.0,0.0,797.0,166.0,631.0,413.0,384.0,155.0,73.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
