"run","patientgetCOVIDVaccineStatusisUnvaccinated","patientgetCOVIDVaccineStatusispartiallyvaccinated","patientgetCOVIDVaccineStatusisfullyvaccinated","patientgetFluAVaccineStatusisUnvaccinated","patientgetFluAVaccineStatusispartiallyvaccinated","patientgetFluAVaccineStatusisfullyvaccinated","patientgetFluBVaccineStatusisUnvaccinated","patientgetFluBVaccineStatusispartiallyvaccinated","patientgetFluBVaccineStatusisfullyvaccinated","patientgetCOVIDInfectionStatusisSymptomatic","patientgetCOVIDInfectionStatusisAsymptomatic","patientgetCOVIDInfectionStatusisSusceptible","patientgetFluAInfectionStatusisSymptomatic","patientgetFluAInfectionStatusisAsymptomatic","patientgetFluAInfectionStatusisSusceptible","patientgetFluBInfectionStatusisSymptomatic","patientgetFluBInfectionStatusisAsymptomatic","patientgetFluBInfectionStatusisSusceptible","patientgetRecentCovidContactisYes","patientgetRecentCovidContactisNo","patientgetImmunocompromisedisYes","patientgetImmunocompromisedisNo","patientgetLFDCOVIDResultisPositive","patientgetLFDCOVIDResultisNegative","patientgetLFDFluAResultisPositive","patientgetLFDFluAResultisNegative","patientgetLFDFluBResultisPositive","patientgetLFDFluBResultisNegative","patientgetLIATCOVIDResultisPositive","patientgetLIATCOVIDResultisNegative","patientgetLIATFluAResultisPositive","patientgetLIATFluAResultisNegative","patientgetLIATFluBResultisPositive","patientgetLIATFluBResultisNegative","patientgetLabPCRCOVIDResultisPositive","patientgetLabPCRCOVIDResultisNegative","patientgetLabPCRFluAResultisPositive","patientgetLabPCRFluAResultisNegative","patientgetLabPCRFluBResultisPositive","patientgetLabPCRFluBResultisNegative","patientgetCepheidCOVIDResultisPositive","patientgetCepheidCOVIDResultisNegative","patientgetCepheidFluAResultisPositive","patientgetCepheidFluAResultisNegative","patientgetCepheidFluBResultisPositive","patientgetCepheidFluBResultisNegative","patientgetPHEThreeAltCOVIDResultisPositive","patientgetPHEThreeAltCOVIDResultisNegative"
11,122.0,29.0,1135.0,1023.0,0.0,263.0,1023.0,0.0,263.0,0.0,124.0,1162.0,33.0,29.0,1224.0,33.0,29.0,1224.0,62.0,1224.0,82.0,1763.0,95.0,1190.0,111.0,1174.0,77.0,1208.0,35.0,40.0,18.0,57.0,18.0,57.0,31.0,237.0,13.0,255.0,13.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,1132.0
12,130.0,23.0,1154.0,1027.0,0.0,280.0,1027.0,0.0,280.0,0.0,129.0,1178.0,39.0,23.0,1245.0,39.0,23.0,1245.0,62.0,1245.0,89.0,1768.0,94.0,1212.0,120.0,1186.0,85.0,1221.0,44.0,40.0,17.0,67.0,17.0,67.0,34.0,264.0,15.0,283.0,15.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,1148.0
13,139.0,34.0,1145.0,1059.0,0.0,259.0,1059.0,0.0,259.0,0.0,143.0,1175.0,40.0,34.0,1244.0,40.0,34.0,1244.0,74.0,1244.0,93.0,1767.0,116.0,1201.0,124.0,1193.0,102.0,1215.0,48.0,51.0,21.0,78.0,21.0,78.0,24.0,292.0,14.0,302.0,14.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,1153.0
14,116.0,18.0,1113.0,995.0,0.0,252.0,995.0,0.0,252.0,0.0,111.0,1136.0,33.0,18.0,1196.0,33.0,18.0,1196.0,51.0,1196.0,77.0,1720.0,85.0,1161.0,101.0,1145.0,63.0,1183.0,42.0,47.0,21.0,68.0,21.0,68.0,35.0,273.0,19.0,289.0,19.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,1104.0
15,135.0,24.0,1175.0,1075.0,0.0,259.0,1075.0,0.0,259.0,0.0,131.0,1203.0,40.0,24.0,1270.0,40.0,24.0,1270.0,64.0,1270.0,89.0,1805.0,98.0,1235.0,135.0,1198.0,83.0,1250.0,42.0,40.0,21.0,61.0,21.0,61.0,24.0,278.0,9.0,293.0,9.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,1176.0
16,114.0,19.0,1139.0,1035.0,0.0,237.0,1035.0,0.0,237.0,0.0,104.0,1168.0,31.0,19.0,1222.0,31.0,19.0,1222.0,50.0,1222.0,80.0,1748.0,82.0,1190.0,103.0,1169.0,71.0,1201.0,34.0,48.0,17.0,65.0,17.0,65.0,25.0,274.0,10.0,289.0,10.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,1132.0
17,129.0,22.0,1143.0,1010.0,0.0,284.0,1010.0,0.0,284.0,0.0,126.0,1168.0,35.0,22.0,1237.0,35.0,22.0,1237.0,57.0,1237.0,83.0,1769.0,101.0,1192.0,125.0,1168.0,82.0,1211.0,41.0,50.0,16.0,75.0,16.0,75.0,32.0,270.0,14.0,288.0,14.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,1143.0
18,125.0,36.0,1157.0,1064.0,0.0,254.0,1064.0,0.0,254.0,0.0,143.0,1175.0,37.0,36.0,1245.0,37.0,36.0,1245.0,73.0,1245.0,105.0,1773.0,118.0,1199.0,125.0,1192.0,91.0,1226.0,42.0,54.0,24.0,72.0,24.0,72.0,39.0,273.0,12.0,300.0,12.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,1140.0
19,144.0,30.0,1143.0,1036.0,0.0,281.0,1036.0,0.0,281.0,0.0,146.0,1171.0,45.0,30.0,1242.0,45.0,30.0,1242.0,75.0,1242.0,107.0,1756.0,115.0,1201.0,142.0,1174.0,86.0,1230.0,40.0,49.0,21.0,68.0,21.0,68.0,34.0,261.0,16.0,279.0,16.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,1139.0
20,116.0,26.0,1171.0,1063.0,0.0,250.0,1063.0,0.0,250.0,0.0,117.0,1196.0,31.0,26.0,1256.0,31.0,26.0,1256.0,57.0,1256.0,87.0,1781.0,104.0,1208.0,113.0,1199.0,74.0,1238.0,24.0,42.0,13.0,53.0,13.0,53.0,28.0,273.0,12.0,289.0,12.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,1170.0
21,137.0,34.0,1181.0,1071.0,0.0,281.0,1071.0,0.0,281.0,0.0,144.0,1208.0,38.0,34.0,1280.0,38.0,34.0,1280.0,72.0,1280.0,84.0,1823.0,98.0,1253.0,128.0,1223.0,92.0,1259.0,49.0,94.0,20.0,123.0,20.0,123.0,34.0,273.0,18.0,289.0,18.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,1111.0
22,114.0,16.0,1179.0,1075.0,0.0,234.0,1075.0,0.0,234.0,0.0,104.0,1205.0,32.0,16.0,1261.0,32.0,16.0,1261.0,48.0,1261.0,69.0,1793.0,85.0,1223.0,101.0,1207.0,66.0,1242.0,29.0,104.0,13.0,120.0,13.0,120.0,31.0,286.0,14.0,303.0,14.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,1106.0
23,126.0,28.0,1105.0,992.0,0.0,267.0,992.0,0.0,267.0,0.0,131.0,1128.0,30.0,28.0,1201.0,30.0,28.0,1201.0,58.0,1201.0,85.0,1729.0,86.0,1172.0,116.0,1142.0,81.0,1177.0,51.0,89.0,23.0,117.0,23.0,117.0,28.0,264.0,11.0,281.0,11.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,1041.0
24,106.0,27.0,1145.0,1040.0,0.0,238.0,1040.0,0.0,238.0,0.0,107.0,1171.0,26.0,27.0,1225.0,26.0,27.0,1225.0,53.0,1225.0,78.0,1752.0,86.0,1191.0,118.0,1159.0,67.0,1210.0,37.0,116.0,14.0,139.0,14.0,139.0,20.0,288.0,9.0,299.0,9.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,1067.0
25,131.0,20.0,1112.0,1023.0,0.0,240.0,1023.0,0.0,240.0,0.0,131.0,1132.0,45.0,20.0,1198.0,45.0,20.0,1198.0,65.0,1198.0,93.0,1721.0,99.0,1164.0,118.0,1145.0,83.0,1180.0,36.0,95.0,14.0,117.0,14.0,117.0,28.0,298.0,14.0,312.0,14.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,1034.0
26,113.0,31.0,1100.0,982.0,0.0,262.0,982.0,0.0,262.0,0.0,115.0,1129.0,34.0,31.0,1179.0,34.0,31.0,1179.0,65.0,1179.0,101.0,1700.0,98.0,1146.0,120.0,1124.0,73.0,1171.0,28.0,92.0,16.0,104.0,16.0,104.0,19.0,261.0,11.0,269.0,11.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,1050.0
27,124.0,26.0,1128.0,1030.0,0.0,248.0,1030.0,0.0,248.0,0.0,126.0,1152.0,35.0,26.0,1217.0,35.0,26.0,1217.0,61.0,1217.0,80.0,1743.0,103.0,1174.0,122.0,1155.0,81.0,1196.0,30.0,109.0,16.0,123.0,16.0,123.0,26.0,262.0,14.0,274.0,14.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,1053.0
28,112.0,23.0,1172.0,1057.0,0.0,250.0,1057.0,0.0,250.0,0.0,116.0,1191.0,38.0,23.0,1246.0,38.0,23.0,1246.0,61.0,1246.0,83.0,1771.0,96.0,1210.0,109.0,1197.0,83.0,1223.0,34.0,111.0,18.0,127.0,18.0,127.0,27.0,270.0,13.0,284.0,13.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,1093.0
29,114.0,21.0,1112.0,1019.0,0.0,228.0,1019.0,0.0,228.0,0.0,107.0,1140.0,36.0,21.0,1190.0,36.0,21.0,1190.0,57.0,1190.0,90.0,1714.0,80.0,1166.0,110.0,1136.0,78.0,1168.0,31.0,95.0,21.0,105.0,21.0,105.0,28.0,295.0,16.0,307.0,16.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,1049.0
30,127.0,25.0,1079.0,998.0,0.0,233.0,998.0,0.0,233.0,0.0,117.0,1114.0,33.0,25.0,1173.0,33.0,25.0,1173.0,58.0,1173.0,82.0,1712.0,91.0,1139.0,117.0,1113.0,74.0,1156.0,34.0,99.0,16.0,117.0,16.0,117.0,31.0,279.0,16.0,294.0,16.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,1021.0
31,127.0,39.0,1112.0,1007.0,0.0,271.0,1007.0,0.0,271.0,0.0,148.0,1130.0,49.0,39.0,1190.0,49.0,39.0,1190.0,88.0,1190.0,110.0,1698.0,109.0,1168.0,130.0,1147.0,94.0,1183.0,44.0,21.0,30.0,35.0,30.0,35.0,38.0,288.0,25.0,301.0,25.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1117.0
32,125.0,22.0,1081.0,987.0,0.0,241.0,987.0,0.0,241.0,0.0,122.0,1106.0,32.0,22.0,1174.0,32.0,22.0,1174.0,54.0,1174.0,77.0,1700.0,92.0,1136.0,104.0,1124.0,65.0,1163.0,38.0,20.0,17.0,41.0,17.0,41.0,35.0,270.0,16.0,289.0,16.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1092.0
33,162.0,25.0,1126.0,1034.0,0.0,279.0,1034.0,0.0,279.0,0.0,151.0,1162.0,45.0,25.0,1243.0,45.0,25.0,1243.0,70.0,1243.0,95.0,1770.0,119.0,1193.0,126.0,1186.0,82.0,1230.0,44.0,36.0,25.0,55.0,25.0,55.0,37.0,289.0,18.0,308.0,18.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,1140.0
34,121.0,32.0,1112.0,1002.0,0.0,263.0,1002.0,0.0,263.0,0.0,133.0,1132.0,34.0,32.0,1199.0,34.0,32.0,1199.0,66.0,1199.0,90.0,1717.0,107.0,1157.0,109.0,1155.0,94.0,1170.0,42.0,34.0,20.0,56.0,20.0,56.0,33.0,266.0,17.0,282.0,17.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,1111.0
35,121.0,26.0,1147.0,1018.0,0.0,276.0,1018.0,0.0,276.0,0.0,126.0,1168.0,42.0,26.0,1226.0,42.0,26.0,1226.0,68.0,1226.0,90.0,1760.0,102.0,1191.0,124.0,1169.0,83.0,1210.0,41.0,29.0,24.0,46.0,24.0,46.0,32.0,294.0,15.0,311.0,15.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,1156.0
36,161.0,24.0,1101.0,1006.0,0.0,280.0,1006.0,0.0,280.0,0.0,155.0,1131.0,52.0,24.0,1210.0,52.0,24.0,1210.0,76.0,1210.0,102.0,1743.0,131.0,1154.0,127.0,1158.0,86.0,1199.0,34.0,30.0,17.0,47.0,17.0,47.0,28.0,258.0,14.0,272.0,14.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,1114.0
37,149.0,28.0,1042.0,946.0,0.0,273.0,946.0,0.0,273.0,0.0,140.0,1079.0,54.0,28.0,1137.0,54.0,28.0,1137.0,82.0,1137.0,117.0,1666.0,105.0,1113.0,127.0,1091.0,98.0,1120.0,42.0,26.0,26.0,42.0,26.0,42.0,36.0,247.0,18.0,265.0,18.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,1064.0
38,133.0,20.0,1135.0,1033.0,0.0,255.0,1033.0,0.0,255.0,0.0,125.0,1163.0,49.0,20.0,1219.0,49.0,20.0,1219.0,69.0,1219.0,97.0,1745.0,93.0,1194.0,117.0,1170.0,84.0,1203.0,41.0,22.0,20.0,43.0,20.0,43.0,19.0,294.0,10.0,303.0,10.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,1151.0
39,132.0,28.0,1090.0,988.0,0.0,262.0,988.0,0.0,262.0,0.0,131.0,1119.0,35.0,28.0,1187.0,35.0,28.0,1187.0,63.0,1187.0,88.0,1705.0,99.0,1149.0,114.0,1134.0,78.0,1170.0,40.0,18.0,16.0,42.0,16.0,42.0,35.0,273.0,18.0,290.0,18.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,1110.0
40,125.0,16.0,1121.0,1030.0,0.0,232.0,1030.0,0.0,232.0,0.0,122.0,1140.0,48.0,16.0,1198.0,48.0,16.0,1198.0,64.0,1198.0,84.0,1712.0,86.0,1175.0,125.0,1136.0,81.0,1180.0,47.0,31.0,28.0,50.0,28.0,50.0,35.0,253.0,19.0,269.0,19.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,1120.0
41,110.0,21.0,1101.0,1012.0,0.0,220.0,1012.0,0.0,220.0,0.0,116.0,1116.0,39.0,21.0,1172.0,39.0,21.0,1172.0,60.0,1172.0,86.0,1701.0,96.0,1135.0,109.0,1122.0,75.0,1156.0,34.0,102.0,19.0,117.0,19.0,117.0,29.0,270.0,15.0,284.0,15.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,1020.0
42,120.0,28.0,1112.0,1017.0,0.0,243.0,1017.0,0.0,243.0,0.0,132.0,1128.0,46.0,28.0,1186.0,46.0,28.0,1186.0,74.0,1186.0,99.0,1716.0,102.0,1157.0,130.0,1129.0,100.0,1159.0,38.0,105.0,27.0,116.0,27.0,116.0,24.0,275.0,13.0,286.0,13.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,1018.0
43,139.0,28.0,1142.0,1034.0,0.0,275.0,1034.0,0.0,275.0,0.0,145.0,1164.0,42.0,28.0,1239.0,42.0,28.0,1239.0,70.0,1239.0,94.0,1769.0,113.0,1196.0,110.0,1199.0,89.0,1220.0,36.0,80.0,15.0,101.0,15.0,101.0,30.0,294.0,10.0,314.0,10.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,1086.0
44,136.0,22.0,1146.0,1044.0,0.0,260.0,1044.0,0.0,260.0,0.0,132.0,1172.0,41.0,22.0,1241.0,41.0,22.0,1241.0,63.0,1241.0,91.0,1764.0,97.0,1206.0,129.0,1174.0,74.0,1229.0,44.0,100.0,22.0,122.0,22.0,122.0,28.0,272.0,15.0,285.0,15.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,1071.0
45,127.0,28.0,1213.0,1100.0,0.0,268.0,1100.0,0.0,268.0,0.0,132.0,1236.0,35.0,28.0,1305.0,35.0,28.0,1305.0,63.0,1305.0,89.0,1833.0,105.0,1262.0,112.0,1255.0,75.0,1292.0,36.0,101.0,18.0,119.0,18.0,119.0,25.0,310.0,17.0,318.0,17.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,1137.0
46,121.0,23.0,1136.0,1030.0,0.0,250.0,1030.0,0.0,250.0,0.0,120.0,1160.0,47.0,23.0,1210.0,47.0,23.0,1210.0,70.0,1210.0,89.0,1738.0,92.0,1187.0,118.0,1161.0,93.0,1186.0,38.0,110.0,22.0,126.0,22.0,126.0,29.0,260.0,21.0,268.0,21.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,1055.0
47,140.0,23.0,1106.0,1013.0,0.0,256.0,1013.0,0.0,256.0,0.0,133.0,1136.0,45.0,23.0,1201.0,45.0,23.0,1201.0,68.0,1201.0,88.0,1728.0,111.0,1157.0,111.0,1157.0,90.0,1178.0,38.0,114.0,20.0,132.0,20.0,132.0,34.0,280.0,16.0,298.0,16.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,1032.0
48,136.0,31.0,1098.0,1000.0,0.0,265.0,1000.0,0.0,265.0,0.0,143.0,1122.0,36.0,31.0,1198.0,36.0,31.0,1198.0,67.0,1198.0,89.0,1707.0,112.0,1152.0,120.0,1144.0,94.0,1170.0,38.0,112.0,19.0,131.0,19.0,131.0,41.0,273.0,19.0,295.0,19.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1012.0
49,128.0,26.0,1135.0,1036.0,0.0,253.0,1036.0,0.0,253.0,0.0,130.0,1159.0,29.0,26.0,1234.0,29.0,26.0,1234.0,55.0,1234.0,88.0,1744.0,107.0,1181.0,112.0,1176.0,73.0,1215.0,32.0,104.0,18.0,118.0,18.0,118.0,24.0,272.0,9.0,287.0,9.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,1064.0
50,135.0,41.0,1171.0,1057.0,0.0,290.0,1057.0,0.0,290.0,0.0,150.0,1197.0,38.0,41.0,1268.0,38.0,41.0,1268.0,79.0,1268.0,113.0,1780.0,125.0,1220.0,131.0,1214.0,94.0,1251.0,35.0,99.0,19.0,115.0,19.0,115.0,32.0,265.0,16.0,281.0,16.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,1103.0
51,138.0,28.0,1105.0,997.0,0.0,274.0,997.0,0.0,274.0,0.0,142.0,1129.0,51.0,28.0,1192.0,51.0,28.0,1192.0,79.0,1192.0,106.0,1731.0,113.0,1157.0,136.0,1134.0,93.0,1177.0,34.0,96.0,15.0,115.0,15.0,115.0,37.0,277.0,22.0,292.0,22.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,1034.0
52,128.0,30.0,1096.0,1018.0,0.0,236.0,1018.0,0.0,236.0,0.0,128.0,1126.0,38.0,30.0,1186.0,38.0,30.0,1186.0,68.0,1186.0,100.0,1686.0,99.0,1154.0,120.0,1133.0,94.0,1159.0,35.0,92.0,19.0,108.0,19.0,108.0,36.0,274.0,19.0,291.0,19.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,1036.0
53,130.0,21.0,1120.0,1005.0,0.0,266.0,1005.0,0.0,266.0,0.0,114.0,1157.0,39.0,21.0,1211.0,39.0,21.0,1211.0,60.0,1211.0,84.0,1750.0,97.0,1173.0,106.0,1164.0,75.0,1195.0,26.0,106.0,8.0,124.0,8.0,124.0,28.0,254.0,15.0,267.0,15.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,1053.0
54,147.0,30.0,1034.0,950.0,0.0,261.0,950.0,0.0,261.0,0.0,146.0,1065.0,36.0,30.0,1145.0,36.0,30.0,1145.0,66.0,1145.0,96.0,1667.0,115.0,1095.0,125.0,1085.0,78.0,1132.0,41.0,87.0,16.0,112.0,16.0,112.0,38.0,251.0,20.0,269.0,20.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,984.0
55,125.0,21.0,1106.0,979.0,0.0,273.0,979.0,0.0,273.0,0.0,119.0,1133.0,40.0,21.0,1191.0,40.0,21.0,1191.0,61.0,1191.0,81.0,1722.0,105.0,1146.0,117.0,1134.0,76.0,1175.0,30.0,119.0,12.0,137.0,12.0,137.0,26.0,278.0,9.0,295.0,9.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,1029.0
56,114.0,30.0,1119.0,1015.0,0.0,248.0,1015.0,0.0,248.0,0.0,126.0,1137.0,29.0,30.0,1204.0,29.0,30.0,1204.0,59.0,1204.0,85.0,1720.0,98.0,1165.0,105.0,1158.0,77.0,1186.0,34.0,109.0,13.0,130.0,13.0,130.0,35.0,297.0,15.0,317.0,15.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,1034.0
57,122.0,29.0,1107.0,1014.0,0.0,244.0,1014.0,0.0,244.0,0.0,125.0,1133.0,35.0,29.0,1194.0,35.0,29.0,1194.0,64.0,1194.0,100.0,1710.0,96.0,1162.0,123.0,1135.0,84.0,1174.0,39.0,103.0,21.0,121.0,21.0,121.0,31.0,272.0,15.0,288.0,15.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,1038.0
58,143.0,20.0,1125.0,1022.0,0.0,266.0,1022.0,0.0,266.0,0.0,132.0,1156.0,35.0,20.0,1233.0,35.0,20.0,1233.0,55.0,1233.0,84.0,1759.0,103.0,1184.0,111.0,1176.0,70.0,1217.0,40.0,107.0,13.0,134.0,13.0,134.0,26.0,271.0,7.0,290.0,7.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,1056.0
